reference,titre,acheteur,type_acheteur,type_marche,procedure_source,procedure_consolidee,procedure_regime,montant_estime,date_limite_remise_offres,url_marche,fichier_source_html,conflit_coherence,motif_conflit
2026-005,Réalisation d’opérations comptables et assistance fonctionnelle sur le système d’information financier et comptable SIFAC/SIFAC+ (S4/HANA SAP) de CentraleSupelec,EOESRI / SUPELEC - Centrale SUPELEC,etablissement_public,services,INCONNUE,INDETERMINE,marches_ordinaires,,2026-06-12 12:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2987833?orgAcronyme=f2h,2987833?orgAcronyme=f2h.html,non,
26_AMOE_AST,Accord-cadre d’assistance à maîtrise d’œuvre des applications du socle transverse,MJL / SG / DNUM - Direction du numérique,etat,services,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,,2026-06-17 14:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2990888?orgAcronyme=d3f,2990888?orgAcronyme=d3f.html,non,
37AO26154015290520267275,"Cadrage, la conception, le développement, le maintien en conditions opérationnelles et de sécurité et l'assistance pour les applications composant le système d'information du Casier Judiciaire",Ministère de la Justice,etat,services,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-05-29 00:00:00,https://www.francemarches.com/appel-offre/37ao26154015290520267275-2026-cadrage-conception-developpement,37ao26154015290520267275-2026-cadrage-conception-developpement.html,non,
37AO26181552260520267275,"Prestations d'assistance technique, d'expertise et de conseil concernant les infrastructures, les services applicatifs et l'urbanisation du système d'information (' SI ') de la CNAF",CNAF Établissement public,etablissement_public,services,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,2026-05-26 00:00:00,https://www.francemarches.com/appel-offre/37ao26181552260520267275-2026-prestations-assistance-technique,37ao26181552260520267275-2026-prestations-assistance-technique.html,non,
3/boamp/2640079,"Mise à disposition, adaptation et maintenance du système d'information financière destiné à la gestion budgétaire et comptable de la HAS, organisme en comptabilité budgétaire publique.",Haute Autorité de Santé,etablissement_public,services,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,,2026-07-08 12:00:00,https://www.francemarches.com/appel-offre/3boamp2640079-2026-mise-disposition-adaptation,3boamp2640079-2026-mise-disposition-adaptation.html,non,
3/boamp/2641049,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l'information et de la communication,Direction Générale des Finances Publiques,etat,services,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,400000 EUR,2026-06-04 00:00:00,https://www.francemarches.com/appel-offre/3boamp2641049-2026-assistance-externe-pour,3boamp2641049-2026-assistance-externe-pour.html,non,
3/boamp/2641974,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,VILLE de PARIS - DFA - SDA,collectivite_territoriale,,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,,2026-06-09 12:00:00,https://www.francemarches.com/appel-offre/3boamp2641974-2026-maintien-condition-operationnelle,3boamp2641974-2026-maintien-condition-operationnelle.html,non,
3/boamp/2642071,ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJETS DATA \\\/ INGENIERIE D'EXPERTISE DATA AU SEIN DE LA DIRECTION DU SYSTEME D'INFORMATION DE LA REGION NOUVELLE-AQUITAINE,Région Nouvelle-Aquitaine,collectivite_territoriale,services,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,,2026-05-29 12:00:00,https://www.francemarches.com/appel-offre/3boamp2642071-2026-assistance-ingenierie-coordination,3boamp2642071-2026-assistance-ingenierie-coordination.html,non,
3/boamp/2642106,Acquisition et mise en œuvre d'une solution ERP en mode SaaS avec site web marchand et application mobile,Association ASF Vacances,inconnu,,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,,2026-06-05 14:00:00,https://www.francemarches.com/appel-offre/3boamp2642106-2026-acquisition-mise-oeuvre,3boamp2642106-2026-acquisition-mise-oeuvre.html,non,
3/boamp/2642682,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,SICIO,inconnu,fournitures,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,,2026-06-04 12:00:00,https://www.francemarches.com/appel-offre/3boamp2642682-2026-renouvellement-maintenance-serveurs,3boamp2642682-2026-renouvellement-maintenance-serveurs.html,non,
3/boamp/2643374,REFONTE DU SITE INTERNET DE L'ACADEMIE FRANCAISE - HEBERGEMENT - MAINTENANCE,ACADEMIE FRANCAISE,etablissement_public,services,MAPA,MAPA_SOUS_SEUIL,marches_ordinaires,,,https://www.francemarches.com/appel-offre/3boamp2643374-2026-refonte-site-internet,3boamp2643374-2026-refonte-site-internet.html,non,
3/boamp/2643609,Prestations de services informatiques pour le développement et la maintenance des outils informatiques du GCS UniHA,GCS-UNIHA,etablissement_public,,FORMALISEE,FORMALISEE_SANS_PREUVE_JOUE,marches_ordinaires,900000 EUR,2026-06-04 00:00:00,https://www.francemarches.com/appel-offre/3boamp2643609-2026-prestations-services-informatiques,3boamp2643609-2026-prestations-services-informatiques.html,non,
