reference,titre,acheteur,type_acheteur,fonction_publique,sous_type_fonction_publique,procedure_label,procedure_type,type_marche,ccag_type,cpv_principal,cpv_secondaires,localisation,date_limite_remise_offres,duree,renouvellements,montant_estime,url_marche,url_provenance,fichier_source_html,plateforme_source,verification_requise,raisons_verification,notes_verification
A2026-018,Fourniture d'une solution de gestion pédagogique des doctorants,EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot;,etablissement_public,etat,,,inconnu,,,72260000,72260000|23405819,(69) Rhône,,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2986378?orgAcronyme=f2h,fallback_place,2986378?orgAcronyme=f2h.html,PLACE_NUMERIC,false,,
2026-005,Réalisation d’opérations comptables et assistance fonctionnelle sur le système d’information financier et comptable SIFAC/SIFAC+ (S4/HANA SAP) de CentraleSupelec,EOESRI / SUPELEC - Centrale SUPELEC,etat,etat,,,inconnu,services,,72212440,72212440|79211100|95184411,(91) Essonne,,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2987833?orgAcronyme=f2h,fallback_place,2987833?orgAcronyme=f2h.html,PLACE_NUMERIC,false,,
26_AMOE_AST,Accord-cadre d’assistance à maîtrise d’œuvre des applications du socle transverse,MJL / SG / DNUM - Direction du numérique,etat,etat,,,formalisee,services,prestations_intellectuelles,72267100,72267100|72227000|09267845,Ministère de la Justice,,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2990888?orgAcronyme=d3f,fallback_place,2990888?orgAcronyme=d3f.html,PLACE_NUMERIC,false,,
AOO_2026-02,Assistance à maîtrise d’ouvrage pour la conception et la passation de marchés publics de développement d’outils de gestion et de visualisation de données sur l’eau sur le bassin versant Marais poitevin,"Ministère de la Transition Écologique, Ministère de la Cohésion des Territoires, Ministère de la Mer",etat,etat,,,inconnu,services,prestations_intellectuelles,71241000,71241000|48810000|72222000|62611154,"(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres",,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2992873?orgAcronyme=d4t,fallback_place,2992873?orgAcronyme=d4t.html,PLACE_NUMERIC,false,,
B26-01107-LS,Prestations de tierce maintenance applicative (TMA) des Logiciels Systèmes Energétiques du CEA Liten,AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE,etablissement_public,etat,,,inconnu,services,tic,72250000,72250000|47187902,(38) Isère,,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2997383?orgAcronyme=s2d,fallback_place,2997383?orgAcronyme=s2d.html,PLACE_NUMERIC,false,,
RFI_CRM_2026-02,"RFI ""Outil de connaissance et de gestion des relations extérieures du CNRS""",EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,etat,etat,,,inconnu,,,72212445,72212445|47841249,"(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2998043?orgAcronyme=f2h,fallback_place,2998043?orgAcronyme=f2h.html,PLACE_NUMERIC,false,,
1157695,Infogérance du système d'information de la ville de Croissy-sur-Seine,Ville de Croissy-sur-Seine,collectivite_territoriale,territoriale,,,MAPA,services,tic,72600000,72600000,,,,,,https://www.francemarches.com/appel-offre/36parisien1157695-2026-infogerance-systeme-information,canonical,36parisien1157695-2026-infogerance-systeme-information.html,FRANCE_MARCHES,false,,
37AO26154015290520267275,"Cadrage, la conception, le développement, le maintien en conditions opérationnelles et de sécurité et l'assistance pour les applications composant le système d'information du Casier Judiciaire",Ministère de la Justice,etat,etat,,,MAPA,services,,29052026,29052026|72267100|72267000,,,,,,https://www.francemarches.com/appel-offre/37ao26154015290520267275-2026-cadrage-conception-developpement,canonical,37ao26154015290520267275-2026-cadrage-conception-developpement.html,FRANCE_MARCHES,false,,
37AO26181552260520267275,"Prestations d'assistance technique, d'expertise et de conseil concernant les infrastructures, les services applicatifs et l'urbanisation du système d'information (' SI ') de la CNAF",CNAF Établissement public,etat,etat,,,MAPA,services,tic,26052026,26052026|72600000|72220000,,,,,,https://www.francemarches.com/appel-offre/37ao26181552260520267275-2026-prestations-assistance-technique,canonical,37ao26181552260520267275-2026-prestations-assistance-technique.html,FRANCE_MARCHES,false,,
DAF_2025_001001,Prestations d’assistance et d’expertise pour migration et déploiement des SI vers le cloud au profit du Centre Spécialisé Cloud du MINARM (référence interne DAF).,"Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM, France entière.",etat,Etat,,,MAPA,services,tic,26052026,26052026|72220000,Val-de-Marne,26/05/2026,,,18.02 M€ HT,https://www.francemarches.com/appel-offre/37ao26181581260520263294-2026-prestations-assistance-expertise,source_url,37ao26181581260520263294-2026-prestations-assistance-expertise.html,-,false,,
3/boamp/2640079,"Mise à disposition, adaptation et maintenance du système d'information financière destiné à la gestion budgétaire et comptable de la HAS, organisme en comptabilité budgétaire publique.",Haute Autorité de Santé,inconnu,inconnue,,,formalisee,services,,72000000,72000000|48442000,,,,,,https://www.francemarches.com/appel-offre/3boamp2640079-2026-mise-disposition-adaptation,canonical,3boamp2640079-2026-mise-disposition-adaptation.html,FRANCE_MARCHES,false,,
